id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
161,Completed,Male,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,90-119k,full paid,3 5weeks,other country,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,equal partnership,Yes unfairly treated,No changed companies,Partially remote
162,Completed,Female,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,60-89k,not paid,9 12weeks,US,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
163,Completed,Male,pursing work,empty nester,6 10 years,45-54yo,Employed full time,30-59k,full paid,9 12weeks,other country,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,No changed companies,client location
164,Completed,Female,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,60-89k,other materity leave,no leave,other country,Other leave,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Other unfairly treated,Yes changed companies,Partially remote
165,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed part time,less30k,not paid,no leave,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
166,Completed,Male,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,120-159k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
167,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,90-119k,full paid,13 16weeks,Europe,No wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
168,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,60-89k,other materity leave,3 5weeks,US,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
169,Completed,Male,data worker,kids in home No,2 5 years,35-44yo,Employed full time,30-59k,full paid,3 5weeks,Europe,Not sure longer leave,Other declined promotion,never asked trip conference,Other voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
170,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,30-59k,partially paid,6 8weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
